Body,Head,Head_Coverage,Standard_Confidence,PCA_Confidence,Support,Body Size,Pca Body Size,Functional_variable
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.073,0.536765,0.536765,73,136,136,?a
?a  comorbidity  Diabetes_Mellitus  ?a  comorbidity  Others   ,?a  hasRelapse  Yes,0.073,0.536765,0.536765,73,136,136,?a
?a  drug  Carboplatin  ?a  hasRelapse  No   ,?a  biomarker  ROS1_Positive,0.073252,0.351064,0.536585,66,188,123,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Cisplatin   ,?a  hasRelapse  Yes,0.082,0.535948,0.535948,82,153,153,?a
?a  comorbidity  Others  ?a  sex  male   ,?a  hasRelapse  No,0.112,0.535885,0.535885,112,209,209,?a
?a  comorbidity  Others  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.06,0.535714,0.535714,60,112,112,?a
?a  drug  Afatinib  ?a  hasRelapse  No   ,?a  sex  female,0.09,0.535714,0.535714,90,168,168,?a
?a  comorbidity  Others  ?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.06,0.535714,0.535714,60,112,112,?a
?a  ageCategory  old  ?a  comorbidity  Cardiopathy   ,?a  sex  female,0.098,0.535519,0.535519,98,183,183,?a
?a  ageCategory  young  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  No,0.068,0.535433,0.535433,68,127,127,?a
?a  biomarker  ALK_Positive  ?a  drug  Nivolumab   ,?a  hasRelapse  No,0.053,0.535354,0.535354,53,99,99,?a
?a  biomarker  ALK_Positive  ?a  drug  Cisplatin   ,?a  sex  female,0.053,0.535354,0.535354,53,99,99,?a
?a  drug  Cisplatin  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.053,0.535354,0.535354,53,99,99,?a
?a  ageCategory  old  ?a  comorbidity  Diabetes_Mellitus   ,?a  sex  female,0.107,0.535,0.535,107,200,200,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.046,0.534884,0.534884,46,86,86,?a
?a  comorbidity  Cardiopathy  ?a  comorbidity  Others   ,?a  sex  female,0.07,0.534351,0.534351,70,131,131,?a
?a  biomarker  ALK_Positive  ?a  biomarker  ROS1_Positive   ,?a  hasRelapse  No,0.039,0.534247,0.534247,39,73,73,?a
?a  comorbidity  Depression  ?a  drug  Vinorelbine   ,?a  ageCategory  old,0.086,0.534161,0.534161,86,161,161,?a
?a  biomarker  ROS1_Positive  ?a  drug  Cisplatin   ,?a  hasRelapse  Yes,0.056,0.533333,0.533333,56,105,105,?a
?a  ageCategory  young  ?a  biomarker  EGFR_Positive   ,?a  hasRelapse  Yes,0.08,0.533333,0.533333,80,150,150,?a
?a  drug  Nivolumab  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Depression,0.027907,0.533333,0.533333,48,90,90,?a
?a  ageCategory  young  ?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.097,0.532967,0.532967,97,182,182,?a
?a  biomarker  ROS1_Positive  ?a  sex  male   ,?a  ageCategory  young,0.073,0.532847,0.532847,73,137,137,?a
?a  comorbidity  Depression  ?a  drug  Nivolumab   ,?a  hasRelapse  No,0.09,0.532544,0.532544,90,169,169,?a
?a  ageCategory  old  ?a  drug  Nivolumab   ,?a  hasRelapse  No,0.09,0.532544,0.532544,90,169,169,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Others,0.023837,0.532468,0.532468,41,77,77,?a
?a  drug  Afatinib  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.041,0.532468,0.532468,41,77,77,?a
?a  comorbidity  Depression  ?a  drug  Cisplatin   ,?a  hasRelapse  Yes,0.083,0.532051,0.532051,83,156,156,?a
?a  hasRelapse  Yes  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.067,0.531746,0.531746,67,126,126,?a
?a  comorbidity  Cardiopathy  ?a  drug  Afatinib   ,?a  sex  female,0.067,0.531746,0.531746,67,126,126,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  ageCategory  old,0.059,0.531532,0.531532,59,111,111,?a
?a  biomarker  ALK_Positive  ?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.051,0.53125,0.53125,51,96,96,?a
?a  drug  Vinorelbine   ,?a  hasRelapse  No,0.188,0.531073,0.531073,188,354,354,?a
?a  ageCategory  old   ,?a  sex  female,0.258,0.530864,0.530864,258,486,486,?a
?a  drug  Carboplatin  ?a  drug  Nivolumab   ,?a  ageCategory  young,0.052,0.530612,0.530612,52,98,98,?a
?a  ageCategory  young  ?a  drug  Carboplatin   ,?a  hasRelapse  No,0.087,0.530488,0.530488,87,164,164,?a
?a  drug  Afatinib  ?a  hasRelapse  Yes   ,?a  ageCategory  old,0.087,0.530488,0.530488,87,164,164,?a
?a  drug  Nivolumab   ,?a  hasRelapse  No,0.183,0.530435,0.530435,183,345,345,?a
?a  comorbidity  Depression  ?a  hasRelapse  Yes   ,?a  sex  male,0.122,0.530435,0.530435,122,230,230,?a
?a  drug  Cisplatin  ?a  smokingHabit  NonSmoker   ,?a  biomarker  EGFR_Positive,0.038846,0.353535,0.530303,35,99,66,?a
?a  comorbidity  Diabetes_Mellitus  ?a  sex  male   ,?a  ageCategory  young,0.105,0.530303,0.530303,105,198,198,?a
?a  comorbidity  Others  ?a  drug  Carboplatin   ,?a  hasRelapse  No,0.088,0.53012,0.53012,88,166,166,?a
?a  drug  Vinorelbine  ?a  smokingHabit  PreviousSmoker   ,?a  sex  male,0.044,0.53012,0.53012,44,83,83,?a
?a  ageCategory  old  ?a  comorbidity  Diabetes_Mellitus   ,?a  hasRelapse  Yes,0.106,0.53,0.53,106,200,200,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.053,0.53,0.53,53,100,100,?a
?a  comorbidity  Depression  ?a  sex  male   ,?a  ageCategory  young,0.124,0.529915,0.529915,124,234,234,?a
?a  comorbidity  Depression  ?a  drug  Carboplatin   ,?a  hasRelapse  No,0.08,0.529801,0.529801,80,151,151,?a
?a  comorbidity  Depression  ?a  drug  Carboplatin   ,?a  sex  male,0.08,0.529801,0.529801,80,151,151,?a
?a  drug  Carboplatin   ,?a  hasRelapse  No,0.188,0.529577,0.529577,188,355,355,?a
?a  sex  male  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  young,0.063,0.529412,0.529412,63,119,119,?a
?a  comorbidity  Others   ,?a  sex  female,0.235,0.529279,0.529279,235,444,444,?a
?a  comorbidity  Cardiopathy   ,?a  sex  female,0.219,0.528986,0.528986,219,414,414,?a
?a  biomarker  EGFR_Positive  ?a  drug  Vinorelbine   ,?a  comorbidity  Others,0.031977,0.528846,0.528846,55,104,104,?a
?a  drug  Nivolumab  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.046,0.528736,0.528736,46,87,87,?a
?a  ageCategory  young  ?a  hasRelapse  No   ,?a  sex  female,0.138,0.528736,0.528736,138,261,261,?a
?a  drug  Carboplatin  ?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.046,0.528736,0.528736,46,87,87,?a
?a  sex  female  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  Yes,0.065,0.528455,0.528455,65,123,123,?a
?a  comorbidity  Depression  ?a  comorbidity  Others   ,?a  biomarker  EGFR_Positive,0.072142,0.396341,0.528455,65,164,123,?a
?a  drug  Afatinib  ?a  drug  Cisplatin   ,?a  biomarker  ALK_Positive,0.031077,0.35443,0.528302,28,79,53,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  hasRelapse  Yes,0.056,0.528302,0.528302,56,106,106,?a
?a  drug  Afatinib  ?a  smokingHabit  NonSmoker   ,?a  biomarker  EGFR_Positive,0.031077,0.363636,0.528302,28,77,53,?a
?a  biomarker  EGFR_Positive  ?a  drug  Nivolumab   ,?a  ageCategory  young,0.056,0.528302,0.528302,56,106,106,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  sex  male,0.056,0.528302,0.528302,56,106,106,?a
?a  drug  Vinorelbine  ?a  sex  female   ,?a  ageCategory  young,0.103,0.528205,0.528205,103,195,195,?a
?a  biomarker  ALK_Positive   ,?a  sex  female,0.15,0.528169,0.528169,150,284,284,?a
?a  smokingHabit  PreviousSmoker   ,?a  sex  female,0.133,0.527778,0.527778,133,252,252,?a
?a  ageCategory  old  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  Yes,0.067,0.527559,0.527559,67,127,127,?a
?a  ageCategory  old  ?a  smokingHabit  NonSmoker   ,?a  sex  male,0.067,0.527559,0.527559,67,127,127,?a
?a  comorbidity  Depression  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.058,0.527273,0.527273,58,110,110,?a
?a  drug  Afatinib   ,?a  sex  female,0.175,0.527108,0.527108,175,332,332,?a
?a  drug  Afatinib  ?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.049,0.526882,0.526882,49,93,93,?a
?a  ageCategory  young  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Others,0.040116,0.526718,0.526718,69,131,131,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.04,0.526316,0.526316,40,76,76,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Depression,0.023256,0.526316,0.526316,40,76,76,?a
?a  comorbidity  Others  ?a  sex  male   ,?a  ageCategory  young,0.11,0.526316,0.526316,110,209,209,?a
?a  biomarker  EGFR_Positive  ?a  drug  Carboplatin   ,?a  comorbidity  Others,0.034884,0.526316,0.526316,60,114,114,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  PreviousSmoker   ,?a  comorbidity  Others,0.023256,0.526316,0.526316,40,76,76,?a
?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  No,0.132,0.525896,0.525896,132,251,251,?a
?a  drug  Afatinib  ?a  sex  female   ,?a  ageCategory  old,0.092,0.525714,0.525714,92,175,175,?a
?a  ageCategory  young  ?a  biomarker  ALK_Positive   ,?a  hasRelapse  No,0.082,0.525641,0.525641,82,156,156,?a
?a  biomarker  ROS1_Positive  ?a  sex  male   ,?a  hasRelapse  No,0.072,0.525547,0.525547,72,137,137,?a
?a  drug  Cisplatin  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  ROS1_Positive,0.034406,0.348315,0.525424,31,89,59,?a
?a  biomarker  ALK_Positive  ?a  drug  Cisplatin   ,?a  comorbidity  Depression,0.030233,0.525253,0.525253,52,99,99,?a
?a  biomarker  ALK_Positive  ?a  drug  Nivolumab   ,?a  comorbidity  Depression,0.030233,0.525253,0.525253,52,99,99,?a
?a  comorbidity  Depression  ?a  comorbidity  Diabetes_Mellitus   ,?a  hasRelapse  Yes,0.073,0.52518,0.52518,73,139,139,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  ageCategory  old,0.063,0.525,0.525,63,120,120,?a
?a  biomarker  EGFR_Positive   ,?a  hasRelapse  Yes,0.159,0.524752,0.524752,159,303,303,?a
?a  drug  Vinorelbine  ?a  smokingHabit  CurrentSmoker   ,?a  biomarker  ROS1_Positive,0.035516,0.359551,0.52459,32,89,61,?a
?a  ageCategory  young  ?a  drug  Carboplatin   ,?a  sex  female,0.086,0.52439,0.52439,86,164,164,?a
?a  drug  Afatinib   ,?a  ageCategory  old,0.174,0.524096,0.524096,174,332,332,?a
?a  comorbidity  Cardiopathy  ?a  drug  Carboplatin   ,?a  biomarker  ROS1_Positive,0.061043,0.357143,0.52381,55,154,105,?a
?a  comorbidity  Depression  ?a  smokingHabit  NonSmoker   ,?a  biomarker  EGFR_Positive,0.048835,0.369748,0.52381,44,119,84,?a
?a  comorbidity  Others  ?a  drug  Nivolumab   ,?a  ageCategory  old,0.077,0.52381,0.52381,77,147,147,?a
?a  smokingHabit  NonSmoker   ,?a  sex  male,0.135,0.523256,0.523256,135,258,258,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.045,0.523256,0.523256,45,86,86,?a
?a  biomarker  ALK_Positive  ?a  sex  male   ,?a  hasRelapse  Yes,0.07,0.522388,0.522388,70,134,134,?a
?a  biomarker  ALK_Positive  ?a  smokingHabit  CurrentSmoker   ,?a  comorbidity  Diabetes_Mellitus,0.020349,0.522388,0.522388,35,67,67,?a
?a  comorbidity  Others  ?a  hasRelapse  Yes   ,?a  ageCategory  young,0.118,0.522124,0.522124,118,226,226,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Vinorelbine   ,?a  sex  male,0.071,0.522059,0.522059,71,136,136,?a
?a  comorbidity  Diabetes_Mellitus  ?a  sex  female   ,?a  ageCategory  old,0.107,0.521951,0.521951,107,205,205,?a
?a  sex  female  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.072,0.521739,0.521739,72,138,138,?a
?a  ageCategory  young   ,?a  sex  female,0.268,0.521401,0.521401,268,514,514,?a
?a  comorbidity  Depression  ?a  sex  male   ,?a  hasRelapse  Yes,0.122,0.521368,0.521368,122,234,234,?a
?a  drug  Carboplatin  ?a  hasRelapse  No   ,?a  sex  male,0.098,0.521277,0.521277,98,188,188,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Depression   ,?a  ageCategory  old,0.074,0.521127,0.521127,74,142,142,?a
?a  sex  male   ,?a  hasRelapse  No,0.247,0.521097,0.521097,247,474,474,?a
?a  drug  Carboplatin  ?a  sex  female   ,?a  biomarker  EGFR_Positive,0.068812,0.340659,0.521008,62,182,119,?a
?a  comorbidity  Depression  ?a  drug  Carboplatin   ,?a  biomarker  EGFR_Positive,0.055494,0.331126,0.520833,50,151,96,?a
?a  ageCategory  young  ?a  smokingHabit  PreviousSmoker   ,?a  sex  male,0.063,0.520661,0.520661,63,121,121,?a
?a  smokingHabit  CurrentSmoker   ,?a  biomarker  ROS1_Positive,0.098779,0.354582,0.520468,89,251,171,?a
?a  comorbidity  Diabetes_Mellitus  ?a  hasRelapse  No   ,?a  ageCategory  young,0.102,0.520408,0.520408,102,196,196,?a
?a  drug  Carboplatin  ?a  drug  Nivolumab   ,?a  comorbidity  Others,0.029651,0.520408,0.520408,51,98,98,?a
?a  comorbidity  Others  ?a  drug  Afatinib   ,?a  hasRelapse  Yes,0.077,0.52027,0.52027,77,148,148,?a
?a  comorbidity  Depression  ?a  sex  female   ,?a  hasRelapse  No,0.117,0.52,0.52,117,225,225,?a
?a  comorbidity  Cardiopathy  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  Yes,0.052,0.52,0.52,52,100,100,?a
?a  smokingHabit  PreviousSmoker   ,?a  ageCategory  old,0.131,0.519841,0.519841,131,252,252,?a
?a  biomarker  ROS1_Positive  ?a  sex  female   ,?a  ageCategory  old,0.092,0.519774,0.519774,92,177,177,?a
?a  drug  Afatinib  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Depression,0.023256,0.519481,0.519481,40,77,77,?a
?a  biomarker  ROS1_Positive  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.04,0.519481,0.519481,40,77,77,?a
?a  ageCategory  old  ?a  biomarker  ROS1_Positive   ,?a  hasRelapse  No,0.081,0.519231,0.519231,81,156,156,?a
?a  biomarker  EGFR_Positive  ?a  drug  Vinorelbine   ,?a  comorbidity  Depression,0.031395,0.519231,0.519231,54,104,104,?a
?a  comorbidity  Others  ?a  drug  Cisplatin   ,?a  biomarker  EGFR_Positive,0.059933,0.343949,0.519231,54,157,104,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Nivolumab   ,?a  ageCategory  young,0.068,0.519084,0.519084,68,131,131,?a
?a  sex  male   ,?a  ageCategory  young,0.246,0.518987,0.518987,246,474,474,?a
?a  comorbidity  Others  ?a  drug  Vinorelbine   ,?a  biomarker  EGFR_Positive,0.061043,0.341615,0.518868,55,161,106,?a
?a  hasRelapse  No   ,?a  ageCategory  young,0.261,0.517857,0.517857,261,504,504,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Others   ,?a  hasRelapse  No,0.074,0.517483,0.517483,74,143,143,?a
?a  drug  Cisplatin  ?a  sex  male   ,?a  comorbidity  Depression,0.051744,0.517442,0.517442,89,172,172,?a
?a  ageCategory  young  ?a  comorbidity  Diabetes_Mellitus   ,?a  sex  male,0.105,0.517241,0.517241,105,203,203,?a
?a  biomarker  ROS1_Positive  ?a  drug  Carboplatin   ,?a  sex  male,0.06,0.517241,0.517241,60,116,116,?a
?a  comorbidity  Diabetes_Mellitus  ?a  sex  female   ,?a  hasRelapse  Yes,0.106,0.517073,0.517073,106,205,205,?a
?a  ageCategory  old  ?a  drug  Vinorelbine   ,?a  biomarker  ROS1_Positive,0.067703,0.354651,0.516949,61,172,118,?a
?a  drug  Nivolumab  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  old,0.046,0.516854,0.516854,46,89,89,?a
?a  biomarker  EGFR_Positive  ?a  biomarker  ROS1_Positive   ,?a  comorbidity  Others,0.026744,0.516854,0.516854,46,89,89,?a
?a  drug  Cisplatin  ?a  smokingHabit  CurrentSmoker   ,?a  sex  male,0.046,0.516854,0.516854,46,89,89,?a
?a  ageCategory  young  ?a  comorbidity  Others   ,?a  biomarker  EGFR_Positive,0.085461,0.336245,0.516779,77,229,149,?a
?a  biomarker  EGFR_Positive  ?a  comorbidity  Others   ,?a  ageCategory  young,0.077,0.516779,0.516779,77,149,149,?a
?a  hasRelapse  Yes  ?a  sex  female   ,?a  ageCategory  old,0.139,0.516729,0.516729,139,269,269,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Diabetes_Mellitus   ,?a  hasRelapse  Yes,0.062,0.516667,0.516667,62,120,120,?a
?a  drug  Cisplatin  ?a  drug  Nivolumab   ,?a  comorbidity  Depression,0.027907,0.516129,0.516129,48,93,93,?a
?a  drug  Afatinib  ?a  drug  Nivolumab   ,?a  sex  male,0.048,0.516129,0.516129,48,93,93,?a
?a  biomarker  ROS1_Positive   ,?a  hasRelapse  No,0.162,0.515924,0.515924,162,314,314,?a
?a  comorbidity  Others  ?a  drug  Cisplatin   ,?a  hasRelapse  Yes,0.081,0.515924,0.515924,81,157,157,?a
?a  comorbidity  Others  ?a  sex  female   ,?a  biomarker  EGFR_Positive,0.0899,0.344681,0.515924,81,235,157,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Afatinib   ,?a  hasRelapse  Yes,0.065,0.515873,0.515873,65,126,126,?a
?a  ageCategory  young  ?a  drug  Cisplatin   ,?a  hasRelapse  No,0.098,0.515789,0.515789,98,190,190,?a
?a  comorbidity  Others   ,?a  ageCategory  young,0.229,0.515766,0.515766,229,444,444,?a
?a  biomarker  EGFR_Positive  ?a  hasRelapse  Yes   ,?a  comorbidity  Others,0.047674,0.515723,0.515723,82,159,159,?a
?a  ageCategory  young  ?a  comorbidity  Others   ,?a  hasRelapse  Yes,0.118,0.515284,0.515284,118,229,229,?a
?a  comorbidity  Depression  ?a  hasRelapse  No   ,?a  ageCategory  old,0.118,0.515284,0.515284,118,229,229,?a
?a  comorbidity  Depression  ?a  drug  Afatinib   ,?a  hasRelapse  No,0.085,0.515152,0.515152,85,165,165,?a
?a  biomarker  ALK_Positive  ?a  comorbidity  Depression   ,?a  hasRelapse  No,0.068,0.515152,0.515152,68,132,132,?a
?a  ageCategory  young  ?a  sex  female   ,?a  hasRelapse  No,0.138,0.514925,0.514925,138,268,268,?a
?a  ageCategory  old  ?a  drug  Nivolumab   ,?a  comorbidity  Depression,0.050581,0.514793,0.514793,87,169,169,?a
?a  comorbidity  Depression  ?a  drug  Nivolumab   ,?a  ageCategory  old,0.087,0.514793,0.514793,87,169,169,?a
?a  biomarker  EGFR_Positive  ?a  sex  male   ,?a  comorbidity  Depression,0.040698,0.514706,0.514706,70,136,136,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Vinorelbine   ,?a  ageCategory  young,0.07,0.514706,0.514706,70,136,136,?a
?a  biomarker  EGFR_Positive  ?a  sex  male   ,?a  ageCategory  old,0.07,0.514706,0.514706,70,136,136,?a
?a  drug  Afatinib  ?a  sex  female   ,?a  hasRelapse  No,0.09,0.514286,0.514286,90,175,175,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Depression   ,?a  hasRelapse  Yes,0.072,0.514286,0.514286,72,140,140,?a
?a  biomarker  EGFR_Positive  ?a  drug  Afatinib   ,?a  ageCategory  young,0.054,0.514286,0.514286,54,105,105,?a
?a  biomarker  ROS1_Positive  ?a  comorbidity  Depression   ,?a  ageCategory  old,0.072,0.514286,0.514286,72,140,140,?a
?a  biomarker  EGFR_Positive  ?a  drug  Afatinib   ,?a  comorbidity  Others,0.031395,0.514286,0.514286,54,105,105,?a
?a  drug  Vinorelbine   ,?a  ageCategory  young,0.182,0.514124,0.514124,182,354,354,?a
?a  biomarker  ALK_Positive   ,?a  hasRelapse  No,0.146,0.514085,0.514085,146,284,284,?a
?a  ageCategory  old  ?a  drug  Cisplatin   ,?a  biomarker  EGFR_Positive,0.061043,0.352564,0.514019,55,156,107,?a
?a  biomarker  EGFR_Positive  ?a  drug  Cisplatin   ,?a  ageCategory  old,0.055,0.514019,0.514019,55,107,107,?a
?a  biomarker  EGFR_Positive  ?a  drug  Cisplatin   ,?a  sex  male,0.055,0.514019,0.514019,55,107,107,?a
?a  biomarker  EGFR_Positive  ?a  hasRelapse  No   ,?a  ageCategory  old,0.074,0.513889,0.513889,74,144,144,?a
?a  comorbidity  Others  ?a  hasRelapse  No   ,?a  sex  male,0.112,0.513761,0.513761,112,218,218,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  hasRelapse  Yes,0.207,0.513648,0.513648,207,403,403,?a
?a  biomarker  ROS1_Positive  ?a  drug  Nivolumab   ,?a  ageCategory  young,0.057,0.513514,0.513514,57,111,111,?a
?a  ageCategory  young  ?a  biomarker  EGFR_Positive   ,?a  comorbidity  Others,0.044767,0.513333,0.513333,77,150,150,?a
?a  sex  male  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  old,0.058,0.513274,0.513274,58,113,113,?a
?a  comorbidity  Others  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ROS1_Positive,0.044395,0.357143,0.512821,40,112,78,?a
?a  drug  Carboplatin  ?a  sex  male   ,?a  biomarker  ROS1_Positive,0.066593,0.346821,0.512821,60,173,117,?a
?a  drug  Carboplatin   ,?a  sex  female,0.182,0.512676,0.512676,182,355,355,?a
?a  ageCategory  young  ?a  drug  Afatinib   ,?a  hasRelapse  No,0.081,0.512658,0.512658,81,158,158,?a
?a  comorbidity  Depression  ?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.061,0.512605,0.512605,61,119,119,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Nivolumab   ,?a  biomarker  EGFR_Positive,0.045505,0.312977,0.5125,41,131,80,?a
?a  drug  Nivolumab  ?a  hasRelapse  Yes   ,?a  ageCategory  young,0.083,0.512346,0.512346,83,162,162,?a
?a  comorbidity  Cardiopathy  ?a  hasRelapse  Yes   ,?a  biomarker  EGFR_Positive,0.069922,0.33871,0.512195,63,186,123,?a
?a  sex  female  ?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.063,0.512195,0.512195,63,123,123,?a
?a  comorbidity  Depression  ?a  comorbidity  Others   ,?a  ageCategory  old,0.084,0.512195,0.512195,84,164,164,?a
?a  comorbidity  Depression  ?a  comorbidity  Others   ,?a  sex  male,0.084,0.512195,0.512195,84,164,164,?a
?a  comorbidity  Diabetes_Mellitus  ?a  hasRelapse  Yes   ,?a  ageCategory  old,0.106,0.512077,0.512077,106,207,207,?a
?a  comorbidity  Others  ?a  drug  Carboplatin   ,?a  sex  male,0.085,0.512048,0.512048,85,166,166,?a
?a  comorbidity  Diabetes_Mellitus  ?a  drug  Vinorelbine   ,?a  biomarker  ROS1_Positive,0.047725,0.316176,0.511905,43,136,84,?a
?a  smokingHabit  NonSmoker   ,?a  hasRelapse  No,0.132,0.511628,0.511628,132,258,258,?a
?a  drug  Cisplatin  ?a  sex  male   ,?a  hasRelapse  Yes,0.088,0.511628,0.511628,88,172,172,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Depression,0.025581,0.511628,0.511628,44,86,86,?a
?a  comorbidity  Others  ?a  smokingHabit  NonSmoker   ,?a  biomarker  EGFR_Positive,0.048835,0.366667,0.511628,44,120,86,?a
?a  drug  Nivolumab  ?a  drug  Vinorelbine   ,?a  ageCategory  old,0.044,0.511628,0.511628,44,86,86,?a
?a  biomarker  EGFR_Positive  ?a  smokingHabit  NonSmoker   ,?a  comorbidity  Others,0.025581,0.511628,0.511628,44,86,86,?a
?a  drug  Cisplatin   ,?a  hasRelapse  Yes,0.177,0.511561,0.511561,177,346,346,?a
?a  sex  female   ,?a  hasRelapse  Yes,0.269,0.511407,0.511407,269,526,526,?a
?a  ageCategory  old  ?a  sex  female   ,?a  biomarker  ROS1_Positive,0.102109,0.356589,0.511111,92,258,180,?a
?a  drug  Nivolumab  ?a  smokingHabit  CurrentSmoker   ,?a  ageCategory  young,0.046,0.511111,0.511111,46,90,90,?a
?a  ageCategory  young  ?a  comorbidity  Depression   ,?a  hasRelapse  Yes,0.116,0.511013,0.511013,116,227,227,?a
?a  comorbidity  Depression  ?a  hasRelapse  No   ,?a  sex  female,0.117,0.510917,0.510917,117,229,229,?a
?a  drug  Nivolumab  ?a  sex  female   ,?a  ageCategory  young,0.096,0.510638,0.510638,96,188,188,?a
?a  biomarker  ALK_Positive  ?a  drug  Vinorelbine   ,?a  comorbidity  Others,0.028488,0.510417,0.510417,49,96,96,?a
?a  ageCategory  old  ?a  hasRelapse  No   ,?a  sex  male,0.124,0.510288,0.510288,124,243,243,?a
?a  drug  Nivolumab   ,?a  ageCategory  young,0.176,0.510145,0.510145,176,345,345,?a
?a  hasRelapse  Yes   ,?a  ageCategory  young,0.253,0.510081,0.510081,253,496,496,?a
?a  comorbidity  Others  ?a  drug  Nivolumab   ,?a  biomarker  EGFR_Positive,0.056604,0.346939,0.51,51,147,100,?a
?a  ageCategory  old  ?a  comorbidity  Others   ,?a  biomarker  ROS1_Positive,0.085461,0.35814,0.509934,77,215,151,?a
?a  hasRelapse  No   ,?a  sex  female,0.257,0.509921,0.509921,257,504,504,?a
?a  comorbidity  Depression   ,?a  sex  male,0.234,0.509804,0.509804,234,459,459,?a
?a  comorbidity  Others  ?a  smokingHabit  CurrentSmoker   ,?a  hasRelapse  Yes,0.053,0.509615,0.509615,53,104,104,?a
?a  sex  female   ,?a  ageCategory  young,0.268,0.509506,0.509506,268,526,526,?a
?a  comorbidity  Others   ,?a  hasRelapse  Yes,0.226,0.509009,0.509009,226,444,444,?a
?a  comorbidity  Diabetes_Mellitus   ,?a  sex  female,0.205,0.508685,0.508685,205,403,403,?a
?a  ageCategory  old  ?a  comorbidity  Depression   ,?a  hasRelapse  No,0.118,0.508621,0.508621,118,232,232,?a
?a  drug  Carboplatin  ?a  smokingHabit  PreviousSmoker   ,?a  biomarker  ROS1_Positive,0.033296,0.344828,0.508475,30,87,59,?a
?a  hasRelapse  Yes  ?a  sex  female   ,?a  biomarker  EGFR_Positive,0.099889,0.334572,0.508475,90,269,177,?a
?a  ageCategory  young   ,?a  hasRelapse  No,0.261,0.507782,0.507782,261,514,514,?a
?a  smokingHabit  NonSmoker   ,?a  ageCategory  young,0.131,0.507752,0.507752,131,258,258,?a
